x,y,z
194.43576646819372,344.4463768322496,a
157.53073384964318,381.4583705649847,a
155.63000876935098,382.11500380928965,a
142.05155901048803,408.0885043386942,a
139.8555140340041,383.7373433358353,a
52.39225292880869,362.84065756752227,a
101.1899418320256,306.67960596681166,a
109.50790158289965,374.39385096672135,a
82.28872037316795,383.19536589983045,a
117.19653936188303,402.02401049464754,a
150.2071620168294,396.9879103081726,a
126.10171989073848,423.1180347146457,a
133.99851733573823,423.1331958259069,a
145.07884696048163,341.3385366380601,a
206.01926830921258,364.00372087978417,a
201.0602537105592,304.1859256032996,a
179.51697027605698,303.40625309262805,a
200.44598318352615,197.43515113383535,a
242.76490376934973,267.52710511718055,a
195.89015311825997,198.5838515442381,a
166.5248363216508,230.8004693163286,a
123.33789442101673,225.0748583463013,a
94.14007521530434,298.8592039703842,a
135.10626138938915,289.90086073110876,a
153.99977383993277,270.1639468245442,a
116.18715204469956,328.67103888975225,a
101.92270943406373,301.5210580391033,a
126.55998633822436,362.8139131513159,a
88.45052935845197,365.80670868148513,a
94.93555928211185,361.3994200536409,a
79.55905852941758,341.6712967099964,a
374.5378260569129,330.80877471173073,a
350.6234252601104,251.7942407361275,a
373.0802219620514,270.9987145859865,a
391.01904167443126,284.21994879545974,a
396.4704322489428,291.8137729733804,a
383.423756374046,315.9567976530378,a
446.6084633295112,340.96746357320137,a
367.9655018326978,276.75661030956473,a
401.0124004579951,332.22295148418766,a
407.25754987769994,326.00330355762253,a
399.25509922436964,336.93298785991874,a
457.1608718923907,204.16672263277394,a
443.8634771066195,209.29678118937449,a
424.69074697934496,222.45153159874735,a
411.57422737887094,171.28746718405415,a
405.2909571834854,170.04350501216527,a
432.366983120075,186.5836582269925,a
374.02193578996054,220.39146710236787,a
362.6453526283444,220.34482710248864,a
402.3444533217409,231.38535714023504,a
352.3498394575269,178.56940126832006,a
388.7994958856518,265.1847292508139,a
347.01566304120007,249.77366472735795,a
381.92651723504497,295.24293040284545,a
391.5527952967528,268.59435908426644,a
396.2940752427854,304.66779580090383,a
414.05387864081166,307.69663017751003,a
